TICKER,Security,GICS-Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",3/4/57,80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,1875
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",3/4/57,788784,1903
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",4/20/21,857005,1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",8/19/05,1393311,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,2015
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",7/22/99,804328,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/02,1022079,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/07,1037038,1967
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,1962
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",3/4/57,101829,1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,1981
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,1989
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791,1937
